date,pcod_from,pcod_to,travellers,abnormality,travellers_diffwithref,travellers_pctchangewithref
2020-02-01,HT0111-01,HT0111-02,5200,-0.08,-4.61,-0.09
2020-02-01,HT0111-01,HT0111-03,10650,-0.09,-10.64,-0.09
2020-02-01,HT0111-01,HT0112-01,15890,-0.09,-16.16,-0.09
2020-02-01,HT0111-01,HT0113-02,170,0.54,1.31,0.72
2020-02-01,HT0111-01,HT0113-03,100,0.67,0.97,0.9
2020-02-01,HT0111-01,HT0113-04,150,-0.51,-0.88,-0.54
2020-02-01,HT0111-01,HT0113-05,60,0.34,0.32,0.22
2020-02-01,HT0111-01,HT0113-07,160,0.4,0.87,0.45
2020-02-01,HT0111-01,HT0113-08,80,-0.51,-0.44,-0.26
2020-02-01,HT0111-01,HT0113-09,2400,-0.04,-1.01,0
2020-02-01,HT0111-01,HT0113-10,6050,-0.1,-6.6,-0.09
2020-02-01,HT0111-01,HT0113-11,3360,-0.06,-2.51,-0.09
2020-02-01,HT0111-01,HT0113-12,60,0.67,0.68,0.48
2020-02-01,HT0111-01,HT0113-13,60,-0.67,-1.06,-1.53
2020-02-01,HT0111-01,HT0114-01,1800,-0.05,-0.99,-0.09
2020-02-01,HT0111-01,HT0114-03,8880,-0.08,-8.43,-0.09
2020-02-01,HT0111-01,HT0114-04,380,-0.24,-1.07,-0.27
2020-02-01,HT0111-01,HT0114-05,5580,-0.08,-4.89,-0.09
2020-02-01,HT0111-01,HT0115-01,670,-0.1,-0.73,-0.04
2020-02-01,HT0111-01,HT0115-02,110,-0.56,-0.7,-0.26
2020-02-01,HT0111-01,HT0115-03,350,-0.16,-0.69,-0.09
2020-02-01,HT0111-01,HT0115-05,80,0,0,0
2020-02-01,HT0111-01,HT0116-01,60,-0.9,-1.29,-0.87
2020-02-01,HT0111-01,HT0116-02,270,0.1,0.31,0.04
2020-02-01,HT0111-01,HT0116-03,110,-0.08,-0.1,-0.04
2020-02-01,HT0111-01,HT0117-01,13250,-0.08,-11.44,-0.09
2020-02-01,HT0111-01,HT0117-02,2000,-0.05,-1.18,-0.09
2020-02-01,HT0111-01,HT0118-03,3430,-0.08,-3.42,-0.09
2020-02-01,HT0111-01,HT0118-04,1590,-0.16,-2.85,-0.18
2020-02-01,HT0111-01,HT0121-01,780,-0.12,-1.06,-0.04
2020-02-01,HT0111-01,HT0121-02,330,-0.17,-0.65,-0.09
2020-02-01,HT0111-01,HT0121-03,110,0.54,0.64,0.26
2020-02-01,HT0111-01,HT0121-04,100,0.25,0.31,0.13
2020-02-01,HT0111-01,HT0121-05,60,-0.67,-1.26,-0.87
2020-02-01,HT0111-01,HT0122-01,120,-0.34,-0.51,-0.17
2020-02-01,HT0111-01,HT0122-11,850,-0.03,-0.28,0
2020-02-01,HT0111-01,HT0122-12,90,-0.51,-0.53,-0.26
2020-02-01,HT0111-01,HT0123-01,320,-0.22,-0.88,-0.13
2020-02-01,HT0111-01,HT0123-07,250,-0.21,-0.61,-0.09
2020-02-01,HT0111-01,HT0131-01,890,-0.16,-1.51,-0.18
2020-02-01,HT0111-01,HT0131-02,3470,-0.06,-2.55,-0.09
2020-02-01,HT0111-01,HT0131-03,1420,-0.07,-1.23,-0.09
2020-02-01,HT0111-01,HT0131-04,110,-0.9,-1.37,-0.52
2020-02-01,HT0111-01,HT0131-05,200,0.16,0.35,0.09
2020-02-01,HT0111-01,HT0131-08,60,-0.67,-0.58,-0.39
2020-02-01,HT0111-01,HT0131-09,140,-0.34,-0.67,-0.22
2020-02-01,HT0111-01,HT0131-10,130,0.13,0.22,0.09
2020-02-01,HT0111-01,HT0132-01,230,-0.31,-0.88,-0.17
2020-02-01,HT0111-01,HT0132-04,370,0.04,0.17,0
2020-02-01,HT0111-01,HT0133-01,70,-0.9,-1.19,-0.69
2020-02-01,HT0111-01,HT0133-02,60,-0.9,-1.11,-0.87
2020-02-01,HT0111-01,HT0133-03,200,0.3,0.71,0.17
2020-02-01,HT0111-01,HT0133-05,150,0.29,0.53,0.13
2020-02-01,HT0111-01,HT0134-01,80,0.19,0.16,0.09
2020-02-01,HT0111-01,HT0134-02,80,0,0,0
2020-02-01,HT0111-01,HT0134-03,60,0.67,0.54,0.39
2020-02-01,HT0111-01,HT0134-04,60,-0.4,-0.27,-0.22
2020-02-01,HT0111-01,HT0135-01,230,0.07,0.18,0.04
2020-02-01,HT0111-01,HT0141-03,770,-0.12,-1.05,-0.04
2020-02-01,HT0111-01,HT0141-05,80,0,0,0
2020-02-01,HT0111-01,HT0141-06,60,1.12,0.93,0.69
2020-02-01,HT0111-01,HT0142-01,1070,-0.1,-1.3,-0.04
2020-02-01,HT0111-01,HT0142-03,80,-0.22,-0.3,-0.17
2020-02-01,HT0111-01,HT0142-04,60,-1.12,-1.04,-0.74
2020-02-01,HT0111-01,HT0151-02,1130,-0.13,-1.86,-0.09
2020-02-01,HT0111-01,HT0211-01,670,-0.02,-0.18,0
2020-02-01,HT0111-01,HT0211-03,160,-0.27,-0.49,-0.15
2020-02-01,HT0111-01,HT0211-04,100,0.4,0.55,0.3
2020-02-01,HT0111-01,HT0211-06,410,-0.19,-0.87,-0.1
2020-02-01,HT0111-01,HT0211-07,80,0.17,0.16,0.1
2020-02-01,HT0111-01,HT0211-08,100,0.11,0.14,0.05
2020-02-01,HT0111-01,HT0211-10,80,0.29,0.28,0.15
2020-02-01,HT0111-01,HT0211-11,190,-0.34,-0.78,-0.2
2020-02-01,HT0111-01,HT0212-01,290,0.1,0.33,0.05
2020-02-01,HT0111-01,HT0212-02,110,-0.18,-0.23,-0.1
2020-02-01,HT0111-01,HT0212-03,280,0,0,0
2020-02-01,HT0111-01,HT0212-04,230,-0.24,-0.64,-0.15
2020-02-01,HT0111-01,HT0212-05,200,-0.19,-0.47,-0.1
2020-02-01,HT0111-01,HT0213-01,150,-0.39,-0.73,-0.25
2020-02-01,HT0111-01,HT0213-02,220,0,0,0
2020-02-01,HT0111-01,HT0213-03,90,-0.17,-0.2,-0.1
2020-02-01,HT0111-01,HT0213-04,90,-0.27,-0.26,-0.15
2020-02-01,HT0111-01,HT0214-03,90,0,0,0
2020-02-01,HT0111-01,HT0221-01,70,1.12,1.14,0.86
2020-02-01,HT0111-01,HT0221-05,80,-0.67,-0.58,-0.4
2020-02-01,HT0111-01,HT0221-09,80,-0.34,-0.29,-0.2
2020-02-01,HT0111-01,HT0222-01,80,0,0,0
2020-02-01,HT0111-01,HT0222-06,70,0,0,0
2020-02-01,HT0111-01,HT0231-01,130,-0.34,-0.49,-0.2
2020-02-01,HT0111-01,HT0231-02,120,0.22,0.29,0.1
2020-02-01,HT0111-01,HT0231-03,60,-0.22,-0.22,-0.2
2020-02-01,HT0111-01,HT0231-04,80,-0.07,-0.07,-0.05
2020-02-01,HT0111-01,HT0231-05,130,-0.34,-0.51,-0.2
2020-02-01,HT0111-01,HT0231-06,70,-0.51,-0.51,-0.35
2020-02-01,HT0111-01,HT0231-07,90,-0.27,-0.3,-0.15
2020-02-01,HT0111-01,HT0232-01,110,0.22,0.27,0.15
2020-02-01,HT0111-01,HT0233-01,150,-0.54,-0.85,-0.3
2020-02-01,HT0111-01,HT0233-02,60,-0.17,-0.11,-0.1
2020-02-01,HT0111-01,HT0234-01,80,-0.34,-0.37,-0.2
2020-02-01,HT0111-01,HT0311-01,150,0.27,0.47,0.19
2020-02-01,HT0111-01,HT0311-02,990,-0.12,-1.39,-0.06
2020-02-01,HT0111-01,HT0311-03,640,-0.11,-0.81,-0.06
2020-02-01,HT0111-01,HT0312-01,130,0.51,0.85,0.45
2020-02-01,HT0111-01,HT0312-02,120,-0.67,-1.06,-0.58
2020-02-01,HT0111-01,HT0313-01,120,0.45,0.65,0.32
2020-02-01,HT0111-01,HT0313-02,100,-0.67,-0.87,-0.58
2020-02-01,HT0111-01,HT0313-03,230,0.1,0.26,0.06
2020-02-01,HT0111-01,HT0321-01,80,0.51,0.61,0.45
2020-02-01,HT0111-01,HT0321-02,200,-0.19,-0.47,-0.13
2020-02-01,HT0111-01,HT0321-03,90,0.34,0.36,0.26
2020-02-01,HT0111-01,HT0322-01,110,-0.13,-0.18,-0.13
2020-02-01,HT0111-01,HT0322-02,160,0.13,0.25,0.13
2020-02-01,HT0111-01,HT0322-03,100,-0.51,-0.79,-0.52
2020-02-01,HT0111-01,HT0323-01,80,-0.34,-0.41,-0.32
2020-02-01,HT0111-01,HT0323-02,130,0,0,0
2020-02-01,HT0111-01,HT0323-03,70,0.34,0.26,0.26
2020-02-01,HT0111-01,HT0331-05,70,-0.22,-0.29,-0.26
2020-02-01,HT0111-01,HT0331-06,200,0.1,0.22,0.06
2020-02-01,HT0111-01,HT0332-01,70,-0.67,-1.13,-1.04
2020-02-01,HT0111-01,HT0332-02,120,0.34,0.48,0.26
2020-02-01,HT0111-01,HT0341-01,60,-0.22,-0.3,-0.32
2020-02-01,HT0111-01,HT0341-03,70,-0.67,-0.63,-0.58
2020-02-01,HT0111-01,HT0341-04,360,0.17,0.67,0.13
2020-02-01,HT0111-01,HT0342-01,60,0.9,1.15,1.23
2020-02-01,HT0111-01,HT0342-03,70,-0.45,-0.42,-0.39
2020-02-01,HT0111-01,HT0342-04,170,0,0,0
2020-02-01,HT0111-01,HT0343-01,110,-0.56,-0.74,-0.45
2020-02-01,HT0111-01,HT0343-02,70,0.29,0.24,0.19
2020-02-01,HT0111-01,HT0343-03,60,-1.69,-1.54,-1.68
2020-02-01,HT0111-01,HT0344-01,270,-0.25,-0.73,-0.19
2020-02-01,HT0111-01,HT0344-02,130,-0.45,-0.72,-0.39
