date,pcod,presence,presence_perKm2,trips_in,trips_out,abnormality,presence_diffwithref,presence_pctchangewithref
2020-02-01,HT0111-01,557520,30350,156360,155860,0.11,11990,2.19
2020-02-01,HT0111-02,81240,11730,21780,21570,0.54,7850,10.69
2020-02-01,HT0111-03,198590,22160,73460,73610,-1.41,-74800,-27.36
2020-02-01,HT0112-01,376620,14450,103420,104730,0.02,1390,0.37
2020-02-01,HT0113-02,5920,470,1050,1040,0.87,830,16.33
2020-02-01,HT0113-03,3210,310,480,480,0.19,130,4.09
2020-02-01,HT0113-04,3780,220,770,770,-0.36,-280,-6.98
2020-02-01,HT0113-05,5990,460,350,350,1.38,680,12.76
2020-02-01,HT0113-06,3870,270,210,230,1.03,350,10.03
2020-02-01,HT0113-07,4280,440,1000,970,-1.31,-1410,-24.72
2020-02-01,HT0113-08,4180,250,370,370,-1.19,-490,-10.42
2020-02-01,HT0113-09,84940,14570,20560,20190,0.43,6850,8.77
2020-02-01,HT0113-10,199490,16280,63440,63470,-0.86,-42160,-17.44
2020-02-01,HT0113-11,162790,7960,42360,41780,-0.28,-10180,-5.89
2020-02-01,HT0113-12,4060,190,300,300,-0.55,-250,-5.8
2020-02-01,HT0113-13,1810,320,270,260,-1.08,-480,-20.83
2020-02-01,HT0114-01,30390,2460,8870,8860,-0.67,-4760,-13.54
2020-02-01,HT0114-03,102510,3110,40690,40680,-1.42,-36800,-26.42
2020-02-01,HT0114-04,17370,510,3190,3180,1,2880,19.85
2020-02-01,HT0114-05,288470,8930,62440,61580,0.9,44830,18.4
2020-02-01,HT0115-01,41210,960,4450,4480,0.21,860,2.13
2020-02-01,HT0115-02,4630,120,460,470,-0.73,-320,-6.38
2020-02-01,HT0115-03,20910,460,2090,2110,0.65,1210,6.14
2020-02-01,HT0115-04,2940,80,170,170,-0.7,-230,-7.32
2020-02-01,HT0115-05,6820,160,450,450,1.7,890,14.94
2020-02-01,HT0116-01,5990,400,280,260,1.04,540,9.93
2020-02-01,HT0116-02,29670,850,2770,2760,-0.56,-1740,-5.55
2020-02-01,HT0116-03,12780,320,1080,1110,-1.02,-1290,-9.15
2020-02-01,HT0117-01,235710,14460,67950,68650,0.13,6080,2.65
2020-02-01,HT0117-02,42770,8400,11710,11610,0.09,740,1.75
2020-02-01,HT0118-03,98970,6290,31470,31410,-0.72,-15250,-13.35
2020-02-01,HT0118-04,82770,6500,16860,16560,1.26,16380,24.68
2020-02-01,HT0121-01,139960,3450,15680,15510,-1.32,-17610,-11.17
2020-02-01,HT0121-02,56990,1400,5230,5230,-0.03,-140,-0.25
2020-02-01,HT0121-03,17250,480,1110,1080,1.32,1880,12.2
2020-02-01,HT0121-04,17130,630,1240,1240,0.17,270,1.59
2020-02-01,HT0121-05,9530,240,250,250,1.42,1120,13.37
2020-02-01,HT0122-01,31360,710,1580,1580,1,2630,9.17
2020-02-01,HT0122-11,258810,6710,20880,20730,0.91,20070,8.4
2020-02-01,HT0122-12,20500,560,1240,1220,-0.17,-310,-1.51
2020-02-01,HT0123-01,78770,1780,6140,6070,0.36,2610,3.43
2020-02-01,HT0123-02,10200,160,560,540,0.6,570,5.86
2020-02-01,HT0123-04,7570,250,310,290,1.02,620,8.87
2020-02-01,HT0123-05,6440,240,190,190,1.61,820,14.58
2020-02-01,HT0123-06,4810,230,70,70,0.41,180,3.8
2020-02-01,HT0123-07,44230,970,3970,3930,-1.53,-6930,-13.55
