month,pcod,residents,residents_perKm2,arrived,departed,delta_arrived,residents_diffwithref,abnormality,residents_pctchangewithref
2020-02-01,HT0111-01,544650,29650,446860,427110,19760,-880,-0.68,-0.16
2020-02-01,HT0111-02,75340,10880,33420,31480,1940,1950,0.86,2.65
2020-02-01,HT0111-03,268240,29940,96930,96950,-10,-5150,-2.53,-1.88
2020-02-01,HT0112-01,365050,14000,171160,179470,-8310,-10180,-0.83,-2.71
2020-02-01,HT0113-02,5180,410,1580,1490,90,90,4.65,1.77
2020-02-01,HT0113-03,3050,300,680,670,0,-30,-1.56,-0.9
2020-02-01,HT0113-04,4190,240,1180,1110,70,130,0.91,3.22
2020-02-01,HT0113-05,5240,410,630,640,-10,,,
2020-02-01,HT0113-06,3510,240,340,340,0,0,,0
2020-02-01,HT0113-07,5710,590,1940,2000,-60,30,0.76,0.52
2020-02-01,HT0113-08,4610,270,620,570,50,,,
2020-02-01,HT0113-09,74620,12800,48610,45900,2710,-3470,-3.01,-4.44
2020-02-01,HT0113-10,242340,19770,82070,82840,-760,690,0.63,0.29
2020-02-01,HT0113-11,174960,8560,76850,74210,2640,1990,1.3,1.15
2020-02-01,HT0113-12,4290,200,360,370,0,-20,-0.73,-0.5
2020-02-01,HT0113-13,2280,410,370,370,0,0,,0
2020-02-01,HT0114-01,37090,3010,20720,20860,-140,1940,1.93,5.52
2020-02-01,HT0114-02,1830,40,170,170,0,0,0,0
2020-02-01,HT0114-03,131750,4000,96330,95850,490,-7560,-0.71,-5.42
2020-02-01,HT0114-04,13710,410,4560,4620,-60,-790,-3.27,-5.44
2020-02-01,HT0114-05,248980,7710,174860,173880,980,5340,1.89,2.19
2020-02-01,HT0115-01,40420,940,8020,8010,10,70,0.71,0.16
2020-02-01,HT0115-02,4910,130,800,780,20,-40,-1.57,-0.74
2020-02-01,HT0115-03,19270,430,2780,2880,-90,-430,-4.52,-2.19
2020-02-01,HT0115-04,3170,90,360,360,0,0,0,0
2020-02-01,HT0115-05,5910,140,790,800,-10,-20,-0.92,-0.39
2020-02-01,HT0116-01,5450,370,500,500,0,0,0,0
2020-02-01,HT0116-02,30920,890,5940,5980,-40,-500,-2.71,-1.59
2020-02-01,HT0116-03,13950,350,1810,1810,0,-110,-4.39,-0.8
2020-02-01,HT0117-01,219510,13470,165360,169750,-4390,-10120,-5.22,-4.41
2020-02-01,HT0117-02,40790,8010,20360,20730,-370,-1250,-1.49,-2.97
2020-02-01,HT0118-03,117660,7480,61260,60070,1190,3440,2.19,3.01
2020-02-01,HT0118-04,65890,5180,27600,27670,-70,-490,0,-0.74
2020-02-01,HT0121-01,159790,3940,25730,25360,370,2220,2.26,1.41
2020-02-01,HT0121-02,57040,1400,9580,9810,-240,-100,-0.3,-0.17
2020-02-01,HT0121-03,15640,430,2230,2350,-120,270,2.3,1.73
2020-02-01,HT0121-04,16930,620,1930,1930,0,70,1.32,0.4
2020-02-01,HT0121-05,8410,220,860,860,0,0,,0
2020-02-01,HT0121-06,1200,60,120,120,0,0,,0
2020-02-01,HT0121-07,1430,60,150,150,0,0,,0
2020-02-01,HT0121-08,1390,60,120,120,0,0,0,0
2020-02-01,HT0121-09,1110,60,110,110,0,0,,0
2020-02-01,HT0121-10,3130,90,350,350,0,0,,0
2020-02-01,HT0121-11,2490,90,220,220,0,0,0,0
2020-02-01,HT0121-12,1990,80,180,180,0,0,0,0
2020-02-01,HT0121-13,1890,100,220,220,0,0,0,0
2020-02-01,HT0122-01,28920,660,2710,2710,0,,,
2020-02-01,HT0122-02,3420,80,360,360,0,0,0,0
2020-02-01,HT0122-03,1560,50,170,170,0,0,0,0
2020-02-01,HT0122-04,2160,60,170,170,0,0,,0
2020-02-01,HT0122-06,2180,100,220,220,0,0,0,0
2020-02-01,HT0122-07,730,40,90,90,0,0,,0
2020-02-01,HT0122-08,4550,100,440,440,0,0,0,0
2020-02-01,HT0122-09,2220,70,200,200,0,0,,0
2020-02-01,HT0122-10,1220,60,100,100,0,0,0,0
2020-02-01,HT0122-11,239330,6200,32990,34070,-1080,580,0.08,0.24
2020-02-01,HT0122-12,20920,570,2210,2200,10,110,2.01,0.53
2020-02-01,HT0123-01,75400,1700,8480,8470,10,-760,-1.24,-1
2020-02-01,HT0123-02,9640,160,1210,1200,10,0,-0.18,0
2020-02-01,HT0123-03,3230,190,290,290,0,0,0,0
2020-02-01,HT0123-04,6950,230,670,670,0,0,,0
2020-02-01,HT0123-05,5620,210,530,530,0,0,0,0
2020-02-01,HT0123-06,4640,220,430,430,0,0,,0
2020-02-01,HT0123-07,51510,1130,7900,7980,-80,350,0.75,0.69
2020-02-01,HT0131-01,23090,560,12590,12210,390,1520,2.56,7.03
2020-02-01,HT0131-02,176570,3750,97190,96970,220,10360,3.86,6.23
