date,pcod_from,pcod_to,relocations,relocations_diffwithref,abnormality,relocations_pctchangewithref
2020-02-01,HT0111-01,HT0111-02,6040,-3470,-0.46,-30.74
2020-02-01,HT0111-01,HT0111-03,8720,-8050,-1.19,-44.14
2020-02-01,HT0111-01,HT0112-01,15840,-8720,-0.84,-32.9
2020-02-01,HT0111-01,HT0113-02,170,-30,-0.11,-15.18
2020-02-01,HT0111-01,HT0113-03,80,0,-0.36,-2.26
2020-02-01,HT0111-01,HT0113-04,110,-60,-0.38,-32.51
2020-02-01,HT0111-01,HT0113-05,60,10,-0.14,11.25
2020-02-01,HT0111-01,HT0113-06,70,60,1.36,63.15
2020-02-01,HT0111-01,HT0113-07,160,-20,-0.18,-11.29
2020-02-01,HT0111-01,HT0113-08,70,10,0.15,6.93
2020-02-01,HT0111-01,HT0113-09,5210,2690,2.88,85.27
2020-02-01,HT0111-01,HT0113-10,4550,-4070,-0.76,-45.32
2020-02-01,HT0111-01,HT0113-11,4630,210,0.18,4.68
2020-02-01,HT0111-01,HT0114-01,2800,-30,-0.41,-1.19
2020-02-01,HT0111-01,HT0114-03,18770,6910,1.05,49.04
2020-02-01,HT0111-01,HT0114-04,360,-60,-0.04,-8.27
2020-02-01,HT0111-01,HT0114-05,13050,5160,0.84,59.94
2020-02-01,HT0111-01,HT0115-01,760,-120,0,-6.86
2020-02-01,HT0111-01,HT0115-02,160,120,0.84,48.79
2020-02-01,HT0111-01,HT0115-03,290,-170,-0.32,-20.55
2020-02-01,HT0111-01,HT0115-05,90,20,0.5,9.96
2020-02-01,HT0111-01,HT0116-01,60,10,0.54,16.58
2020-02-01,HT0111-01,HT0116-02,430,390,1.99,68.89
2020-02-01,HT0111-01,HT0116-03,70,-100,-1.16,-27.26
2020-02-01,HT0111-01,HT0117-01,25520,7150,1.02,34.14
2020-02-01,HT0111-01,HT0117-02,2620,-30,0.2,-1.14
2020-02-01,HT0111-01,HT0118-03,4450,-510,-0.52,-9.7
2020-02-01,HT0111-01,HT0118-04,1870,-160,0,-9.57
2020-02-01,HT0111-01,HT0121-01,730,-450,-0.36,-22.78
2020-02-01,HT0111-01,HT0121-02,380,30,0.08,3.72
2020-02-01,HT0111-01,HT0121-03,100,-20,-0.29,-10.81
2020-02-01,HT0111-01,HT0121-04,60,-100,-0.66,-33.61
2020-02-01,HT0111-01,HT0122-01,60,-90,-0.48,-42.14
2020-02-01,HT0111-01,HT0122-11,700,-530,-0.9,-25.86
2020-02-01,HT0111-01,HT0122-12,70,-20,-0.3,-10.86
2020-02-01,HT0111-01,HT0123-01,200,-260,-0.51,-35.33
2020-02-01,HT0111-01,HT0123-07,240,-20,0,-4.27
2020-02-01,HT0111-01,HT0131-01,1730,380,0.94,31.89
2020-02-01,HT0111-01,HT0131-02,6230,860,0.12,19.28
2020-02-01,HT0111-01,HT0131-03,1500,-510,-1.07,-22.34
2020-02-01,HT0111-01,HT0131-04,90,-10,-0.26,-6.01
2020-02-01,HT0111-01,HT0131-05,250,170,0.73,30.53
2020-02-01,HT0111-01,HT0131-08,90,90,11.42,92.52
2020-02-01,HT0111-01,HT0131-09,160,30,0.55,19.81
2020-02-01,HT0111-01,HT0131-10,90,-40,-0.7,-19.07
2020-02-01,HT0111-01,HT0132-01,130,-160,-1.02,-37.15
2020-02-01,HT0111-01,HT0132-04,310,-90,-0.52,-12.63
2020-02-01,HT0111-01,HT0133-01,80,30,0.81,39.73
2020-02-01,HT0111-01,HT0133-03,140,-60,-0.66,-17.92
2020-02-01,HT0111-01,HT0133-04,70,50,2.15,94.5
2020-02-01,HT0111-01,HT0133-05,130,0,0.06,0.38
2020-02-01,HT0111-01,HT0134-01,70,20,0.04,5.17
2020-02-01,HT0111-01,HT0134-02,60,0,0.26,-1.8
2020-02-01,HT0111-01,HT0135-01,110,-210,-0.73,-48.07
2020-02-01,HT0111-01,HT0141-03,700,-580,-1.61,-29.37
2020-02-01,HT0111-01,HT0141-04,60,40,1.59,55.27
2020-02-01,HT0111-01,HT0141-05,60,-30,-0.96,-19.3
2020-02-01,HT0111-01,HT0142-01,1350,-140,-0.23,-4.47
2020-02-01,HT0111-01,HT0142-03,120,70,2.13,78.16
